Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Category,Summary,Year
Severe Storms/Tornadoes (May 2003),Severe Storm,2003-05-03,2003-05-10,7018.2,4128.4,51,Storms Events,"Numerous tornadoes over the midwest, Mississippi valley, OH/TN valleys, and portions of the southeast, with a modern record one-week total of approximately 400 tornadoes reported",2003
Midwest/Plains Severe Weather (July 2003),Severe Storm,2003-07-04,2003-07-09,1458.6,858.1,7,Storms Events,"Severe storms affect the states IA, IL, IN, MI, MN, OH, VA, WV across the Midwest and Plains.",2003
Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,2003-07-21,2003-07-23,1713.7,1008.2,7,Storms Events,"Derecho across several southern states with the most focused damage across the Memphis, Tennessee metro area. Severe storms impact states across the South, Southeast, Midwest and Northeast regions including AR, AL, MS, GA, FL, SC, TN, KY, MI, NY, OH, PA and VT.",2003
Hurricane Isabel (September 2003),Tropical Cyclone,2003-09-18,2003-09-19,9268,5484,55,Storm Events,"Category 2 hurricane makes landfall in eastern North Carolina, causing considerable storm surge damage along the coasts of NC, VA, and MD, with wind damage and some flooding due to 4-12 inch rains in NC, VA, MD, DE, WV, NJ, NY, and PA.",2003
Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,2003-03-01,2003-11-30,8630.3,5017.7,35,Dry Weather Events,"2003 drought across western and central portions of the U.S. with losses to agriculture. The states most impacted include AZ, CO, IA, ID, IL, KS, MI, MN, MO, MT, ND, NE, NM, OR, SD, WA and WI.",2003
California Wildfires (Fall 2003),Wildfire,2003-09-01,2003-11-30,6574.7,3890.4,22,Dry Weather Events,"Dry weather, high winds, and resulting wildfires in Southern California burned over 3,700 homes. Nearly 4.0 million acres burned across numerous western states including Alaska.",2003
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,2004-05-21,2004-05-27,1673,1013.9,4,Storms Events,"Severe storms including tornadoes and hail cause damage across the Midwest, South, Southeast and Northeast regions. The states impacted include IA, IL, IN, KY, MI, MO, NC, NE, NY, OK, OH and WI.",2004
Colorado Hail Storms (June 2004),Severe Storm,2004-06-08,2004-06-09,1146.8,695,0,Storms Events,"Several hailstorms across central and eastern Colorado cause widespread damage to many homes, businesses and vehicles.",2004
Hurricane Charley (August 2004),Tropical Cyclone,2004-08-13,2004-08-14,26399.2,15999.5,35,Storm Events,"Category 4 hurricane makes landfall in southwest Florida, resulting in major wind and some storm surge damage in FL, along with some damage in the states of SC and NC.",2004
Hurricane Frances (September 2004),Tropical Cyclone,2004-09-03,2004-09-09,16072,9800,48,Storm Events,"Category 2 hurricane makes landfall in east-central Florida, causing significant wind, storm surge, and flooding damage in FL, along with considerable flood damage in the states of GA, SC, NC, and NY due to 5-15 inch rains.",2004
Hurricane Ivan (September 2004),Tropical Cyclone,2004-09-12,2004-09-21,33620.9,20500.5,57,Storm Events,"Category 3 hurricane makes landfall on Gulf coast of Alabama, with significant wind, storm surge, and flooding damage in coastal AL and FL panhandle, along with wind/flood damage in the states of GA, MS, LA, SC, NC, VA, WV, MD, TN, KY, OH, DE, NJ, PA, and NY.",2004
Hurricane Jeanne (September 2004),Tropical Cyclone,2004-09-15,2004-09-29,12294.2,7496.5,28,Storm Events,"Category 3 hurricane makes landfall in east-central Florida, causing considerable wind, storm surge, and flooding damage in FL, with some flood damage also in the states of GA, SC, NC, VA, MD, DE, NJ, PA, and NY. Puerto Rico also affected.",2004
Southeast Severe Weather (March 2005),Severe Storm,2005-03-24,2005-03-27,1401.3,865,0,Storms Events,"Severe storms cause widespread hail damage across numerous states including TX, AL, MS, GA, FL, NC and VA.",2005
Hurricane Dennis (July 2005),Tropical Cyclone,2005-07-09,2005-07-11,3992,2495,15,Storm Events,"Category 3 hurricane makes landfall in western Florida panhandle resulting in storm surge and wind damage along the FL and AL coasts, along with scattered wind and flood damage in GA and MS.",2005
Hurricane Katrina (August 2005),Tropical Cyclone,2005-08-25,2005-08-30,198796.8,125029.5,1833,Storm Events,"Category 3 hurricane initially impacts the U.S. as a Category 1 near Miami, FL, then as a strong Category 3 along the eastern LA-western MS coastlines, resulting in severe storm surge damage (maximum surge probably exceeded 30 feet) along the LA-MS-AL coasts, wind damage, and the failure of parts of the levee system in New Orleans. Inland effects included high winds and some flooding in the states of AL, MS, FL, TN, KY, IN, OH, and GA.",2005
Midwest Drought (Spring-Summer 2005),Drought,2005-03-01,2005-08-31,2418.7,1474.8,0,Dry Weather Events,"Rather severe localized drought causes significant crop losses (especially for corn and soybeans) in the states of AR, IL, IA, IN, MO, OH, and WI.",2005
Hurricane Rita (September 2005),Tropical Cyclone,2005-09-20,2005-09-24,29045.2,18500.1,119,Storm Events,"Category 3 hurricane hits Texas-Louisiana border coastal region, creating significant storm surge and wind damage along the coast, and some inland flooding in the FL panhandle, AL, MS, LA, AR, and TX. Prior to landfall, Rita reached the third lowest pressure (897 mb) ever recorded in the Atlantic basin.",2005
Hurricane Wilma (October 2005),Tropical Cyclone,2005-10-24,2005-10-24,29830,19000,35,Storm Events,"Category 3 hurricane hits SW Florida resulting in strong damaging winds and major flooding across southeastern Florida. Prior to landfall, Wilma as a Category 5 recorded the lowest pressure (882 mb) ever recorded in the Atlantic basin.",2005
Severe Storms and Tornadoes (March 2006),Severe Storm,2006-03-08,2006-03-13,2086.7,1337.5,10,Storms Events,"Outbreak of tornadoes over portions of the midwest and south during a week-long period-affecting the states of AL, AR, KY, MS, TN, TX, IN, KS, MO, and OK.",2006
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,2006-04-06,2006-04-08,2486,1603.8,10,Storms Events,"Severe weather and numerous tornadoes affecting the states of OK, KS, MO, NE, KY, OH, TN, IN, MS, GA, and AL on April 6-8 with 3 ""killer"" tornadoes in TN.",2006
Midwest Tornadoes (April 2006),Severe Storm,2006-04-13,2006-04-16,3756.4,2423.5,27,Storms Events,"Tornadoes and severe weather cause significant damage in the states of IA, IL, IN, and WI. The state of Indiana was most affected with over one billion dollars in damage.",2006
Northeast Flooding (June 2006),Flooding,2006-06-25,2006-06-28,2343.2,1521.6,20,Wet Weather Events,"Severe flooding over portions of the northeast due to several weeks of heavy rainfall, affecting the states of NY, PA, DE, MD, NJ, and VA.",2006
North Central Severe Weather and Tornadoes (August 2006),Severe Storm,2006-08-23,2006-08-24,1161.4,759,1,Storms Events,"Severe weather and tornadoes cause impacts across several north central states including Minnesota, Wisconsin, Indiana and Illinois.",2006
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,2006-03-01,2006-08-31,9476.8,5997.9,0,Dry Weather Events,"Rather severe drought affected crops especially during the spring-summer, centered over the Great Plains region with other areas affected across portions of the south -- including states of ND, SD, NE, KS, OK, TX, MN, IA, MO, AR, LA, MS, AL, GA, FL, MT, WY, CO, NM.",2006
Central Severe Weather (October 2006),Severe Storm,2006-10-02,2006-10-05,1362.6,879,1,Storms Events,"Severe storms cause high wind and hail damage across numerous states including OH, IL, IN, MI, MN and WI.",2006
Numerous Wildfires (2006),Wildfire,2006-01-01,2006-12-31,2318.1,1467.1,28,Dry Weather Events,"Numerous wildfires driven by dry weather and high winds burned over 9.8 million acres, across the western half of the country including Alaska. This is the second highest annual total behind the 10.1 million acres burned in 2015 since record-keeping began in 1960. The most affected states were AK, AZ, CA, CO, FL, ID, MT, NM, NV, OK, OR, TX, WA, WY",2006
California Freeze (January 2007),Freeze,2007-01-11,2007-01-17,2156,1400,1,Wet Weather Events,"Widespread agricultural freeze -- for nearly two weeks in January, overnight temperatures over a good portion of California dipped into the 20s, destroying numerous agricultural crops; with citrus, berry, and vegetable crops most affected.",2007
Spring Freeze (April 2007),Freeze,2007-04-04,2007-04-10,3147.9,2044,0,Wet Weather Events,"Widespread severe freeze over much of the east and midwest (AL, AR, GA, IA, IL, IN, KS, KY, MO, MS, NC, NE, OH, OK, SC, TN, VA, WV), causing significant losses in fruit crops, field crops (especially wheat), and the ornamental industry. Temperatures in the teens/20s accompanied by rather high winds nullified typical crop-protection systems.",2007
East/South Severe Weather and Flooding (April 2007),Severe Storm,2007-04-13,2007-04-17,3786.8,2507.8,9,Storms Events,"Flooding, hail, tornadoes, and severe thunderstorms across numerous states (CT, DE, GA, LA, ME, MD, MA, MS, NH, NJ, NY, NC, PA, RI, SC, TX, VT, VA) in mid-April, including 3 ""killer"" tornadoes.",2007
Western Wildfires (Summer 2007),Wildfire,2007-06-01,2007-08-31,4112.1,2741.3,12,Dry Weather Events,"Continued drought conditions and high winds over much of the western U.S. (AK, AZ, CA, ID, UT, MT, NV, OR, WA) resulting in numerous wildfires; with national acreage burned exceeding 8.9 million acres (mainly in the west) and over 3,000 homes and structures destroyed in southern California alone.",2007
Western/Eastern Drought/Heat Wave (Summer-Fall 2007),Drought,2007-06-01,2007-11-30,5449.2,3538.3,15,Dry Weather Events,"Severe drought with periods of extreme heat over most of the southeast and portions of the Great Plains, Ohio Valley, and Great Lakes area, resulting in major reductions in crop yields, along with very low stream-flows and lake levels. Includes states of ND, SD, NE, KS, OK, TX, MN, WI, IA, MO, AR, LA, MS, AL, GA, NC, SC, FL, TN, VA, WV, KY, IN, IL, OH, MI, PA, NY.",2007
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,2008-01-04,2008-01-09,1453.4,982,12,Storms Events,"Strong storm produces severe weather including hail, high winds and heavy precipitation from California to New York. Flash floods and landslides cause damage in California. In addition, more than 70 tornadoes were reported from Arkansas to Wisconsin, with the highest concentration of tornadoes in Missouri.",2008
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,2008-02-05,2008-02-06,1793.2,1211.6,57,Storms Events,"Series of tornadoes and severe thunderstorms across the Southeast and Midwest states (AL, AR, IN, KY, MS, OH, TN, TX) with 87 tornadoes confirmed.",2008
Southeast Tornadoes (March 2008),Severe Storm,2008-03-14,2008-03-15,1651.3,1131,5,Storms Events,Tornadoes and severe weather across Georgia and South Carolina. This includes an EF-2 tornado causing damage to numerous buildings in downtown Atlanta.,2008
Southern Severe Weather (April 2008),Severe Storm,2008-04-09,2008-04-11,1507.5,1039.6,2,Storms Events,"Severe storms affect Arkansas, Oklahoma and Texas across the South.",2008
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,2008-05-22,2008-05-27,4362.5,3029.5,13,Storms Events,"Outbreak of tornadoes over the Midwest/Ohio Valley regions (IL, IN, IA, KS, MN, NE, OK, WY, CO) with 235 tornadoes confirmed.",2008
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,2008-06-06,2008-06-12,2339.4,1635.9,18,Storms Events,"An outbreak of tornadoes and thunderstorms over the Midwest/Mid-Atlantic states (IA, IL, IN, KS, NE, MI, MN, MO, OK, WI, MD, VA, WV).",2008
Midwest Flooding (Summer 2008),Flooding,2008-04-01,2008-06-30,14738.5,9958.4,24,Wet Weather Events,"Heavy rain and flooding caused significant agricultural loss and property damage in IA, IL, IN, MO, MN, NE, and WI with IA being hardest hit with widespread rainfall totals ranging from 4 to over 16 inches.",2008
Hurricane Dolly (July 2008),Tropical Cyclone,2008-07-23,2008-07-25,1799.5,1267.3,3,Storm Events,Category 2 hurricane makes landfall in southern Texas causing considerable wind and flooding damage in TX and NM.,2008
Hurricane Gustav (September 2008),Tropical Cyclone,2008-08-31,2008-09-03,8575.7,5997,53,Storm Events,"Category 2 hurricane makes landfall in Louisiana causing significant wind, storm surge, and flooding damage in AL, AR, LA, and MS.",2008
Hurricane Ike (September 2008),Tropical Cyclone,2008-09-12,2008-09-14,42898.3,29998.8,112,Storm Events,"Category 2 hurricane makes landfall in Texas, as the largest (in size) Atlantic hurricane on record, causing considerable storm surge in coastal TX and significant wind and flooding damage in TX, LA, AR, TN, IL, IN, KY, MO, OH, MI and PA. Severe gasoline shortages occurred in the southeast U.S. due to damaged oil platforms, storage tanks, pipelines and off-line refineries.",2008
U.S. Wildfires (Fall 2008),Wildfire,2008-09-01,2008-11-30,1764.6,1234,16,Dry Weather Events,"Drought conditions across numerous western, central and southeastern states (AK, AZ, CA, NM, ID, UT, MT, NV, OR, WA, CO, TX, OK, NC, FL ) resulted in thousands of wildfires; national acreage burned exceeding 5.2 million acres (mainly in the west) and over 1,000 homes and structures destroyed in California fires alone.",2008
U.S. Drought (2008),Drought,2008-01-01,2008-12-31,10374.4,7009.8,0,Dry Weather Events,"Severe drought and heat caused agricultural losses across a large portion of the U.S. Record low lake levels also occurred in areas of the southeast. The states impacted include AL, AR, CA, CO, GA, ID, IN, KS, KY, MD, MN, MS, MT, NC, ND, NJ, NM, OH, OK, OR, SC, TN, TX, UT, VA, WA and WI.",2008
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,2009-02-10,2009-02-11,2558.1,1740.2,10,Storms Events,"Complex of severe thunderstorms and high winds across the region (TN, KY, OK, OH, VA, WV, PA).",2009
Midwest/Southeast Tornadoes (March 2009),Severe Storm,2009-03-25,2009-03-28,2411.6,1640.5,0,Storms Events,"Outbreak of tornadoes over central and southern states (NE, KS, OK, IA, TX, LA, MS, AL, GA, TN, KY) with 56 tornadoes confirmed.",2009
South/Southeast Severe Weather and Tornadoes (April 2009),Severe Storm,2009-04-09,2009-04-10,2087.9,1430.1,6,Storms Events,"Outbreak of tornadoes, hail and severe thunderstorms over the south and southeastern states (AL, AR, GA, KY, MO, SC, TN) with 85 confirmed tornadoes.",2009
Central Derecho and Tornadoes (May 2009),Severe Storm,2009-05-07,2009-05-09,1257.1,861,7,Storms Events,"More than 50 tornadoes and large hail from severe storms caused damage across many southeastern states (IL, KS, KY, MO, TN, TX).",2009
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009-06-09,2009-06-12,1926,1328.1,0,Storms Events,"Sustained outbreak of thunderstorms and high winds from a strong derecho event over the central, southern, and eastern states (TX, OK, MO, NE, KS, AR, AL, MS, TN, NC, SC, KY, PA).",2009
Colorado Hail Storm (July 2009),Severe Storm,2009-07-20,2009-07-20,1450,1000,0,Storms Events,"Severe hail impacts Colorado. Jefferson County was most affected with hail at least 8 inches deep. The hail damage from this storm was comparable to the July 11, 1990 Colorado hail storm.",2009
Georgia Flooding (September 2009),Flooding,2009-09-19,2009-09-22,1302.8,898.5,10,Wet Weather Events,"Severe multi-day flooding across numerous Georgia counties including all of the Atlanta metro. The maximum 24-hour rainfall total for September 20-21, 2009 was 21.03 inches in Douglas County. This extreme rainfall caused widespread flooding and damage to thousands of homes, businesses and vehicles. There was significant infrastructure damage across the region from this major flooding event including 20 river gages that went underwater and stopped reporting.",2009
Western Wildfires (Summer-Fall 2009),Wildfire,2009-06-01,2009-11-30,1467.3,1011.9,10,Dry Weather Events,"Residual and sustained drought conditions across western and south-central states resulted in thousands of wildfires. Most affected states include CA, AZ, NM, TX, OK, and UT. National wildfire acreage burned exceeds 5.9 million acres. Over 200 homes and structures destroyed in the California ""Station"" fire alone.",2009
Southwest/Great Plains Drought (2009),Drought,2009-01-01,2009-12-31,5168.1,3492,0,Dry Weather Events,"Drought conditions occurred during much of the year across parts of the Southwest, Great Plains, and southern Texas causing agricultural losses in numerous states (TX, OK, KS, CA, NM, AZ). The largest agriculture losses occurred in TX and CA.",2009
Northeast Winter Storm (February 2010),Winter Storm,2010-02-09,2010-02-11,1176.5,817,3,Wet Weather Events,"Winter storm produced 10-20 inches of snow and high wind impacts across numerous northeastern and eastern states including Pennsylvania, Maryland, Delaware, New Jersey, West Virginia, Virginia and North Carolina. These impacts were most focused in Pennsylvania and Maryland, as this winter storm closely followed a previous winter storm from the week prior.",2010
Northeast Flooding (March 2010),Flooding,2010-03-01,2010-03-31,2655.7,1844.2,11,Wet Weather Events,"Heavy rainfall over portions of the Northeast in late March caused extensive flooding across several states (RI, CT, MA, NJ, NY, PA). The event caused the worst flooding in Rhode Island's history.",2010
East/South Flooding and Severe Weather (May 2010),Flooding,2010-04-30,2010-05-02,3263.5,2266.3,32,Wet Weather Events,"Flooding, hail, tornadoes, and severe thunderstorms occurred across many Southern states (TN, AR, KY, GA) on April 30-May 2. Flooding in the Nashville, TN area alone contributed > $1.0 ($1.4) billion in damages. Western and Middle Tennessee were hardest hit with local rainfall amounts of 18-20 inches to the south and west of Greater Nashville.",2010
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010-05-10,2010-05-12,4767.4,3333.8,3,Storms Events,"An outbreak of tornadoes, hail, and severe thunderstorms occurred across Oklahoma, Kansas, and Texas in mid-May. Oklahoma was hardest hit with > $1.5 ($2.1) billion in damages.",2010
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010-06-10,2010-06-15,1288.5,901,2,Storms Events,"Severe storms cause high wind and hail damage across numerous states including CO, NM, KS, OK, IL, IN, GA, SC and NC.",2010
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010-07-20,2010-07-23,1356,948.3,0,Storms Events,"Severe storms and flooding affect the states IA, IL, MD, NY, PA, WI across the Midwest and Northeast.",2010
Arizona Severe Weather (October 2010),Severe Storm,2010-10-05,2010-10-06,5434,3800,0,Storms Events,"An unusual series of severe thunderstorms across Arizona produced numerous tornadoes and widespread, severe hail damage. Over one-hundred buildings were damaged or destroyed by tornadoes while thousands of automobiles and buildings were damaged by large hail across Phoenix and surrounding cities.",2010
Groundhog Day Blizzard (February 2011),Winter Storm,2011-02-01,2011-02-03,2547.7,1794.2,36,Wet Weather Events,"A large winter storm impacted many central, eastern and northeastern states. The city of Chicago was brought to a virtual standstill as between 1 and 2 feet of snow fell over the area.",2011
Midwest/Southeast Tornadoes and Derecho (April 2011),Severe Storm,2011-04-04,2011-04-05,3857.6,2775.2,9,Storms Events,"Outbreak of tornadoes and derecho over central and southern states (KS, MO, IA, IL, WI, KY, GA, TN, NC, SC) with an estimated 46 tornadoes.",2011
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011-04-08,2011-04-11,3029.2,2179.3,0,Storms Events,"Outbreak of tornadoes over central and southern states (NC, SC, TN, AL, TX, OK, KS, IA, WI) with an estimated 59 tornadoes.",2011
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011-04-14,2011-04-16,2862.2,2059.2,38,Storms Events,"Outbreak of tornadoes over central and southern states (OK, TX, AR, MS, AL, GA, NC, SC, VA, PA) with an estimated 177 tornadoes.",2011
Ohio Valley Derecho and Southern Tornadoes (April 2011),Severe Storm,2011-04-19,2011-04-20,1442.2,1037.5,0,Storms Events,"Dozens of tornadoes and a derecho affect numerous states (AR, IL, IN, KY, MO, OH, TN, TX) across the Ohio Valley and South.",2011
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011-04-25,2011-04-28,14208.5,10222,321,Storms Events,"Outbreak of tornadoes over central and southern states (AL, AR, LA, MS, GA, TN, VA, KY, IL, MO, OH, TX, OK) with an estimated 343 tornadoes. The deadliest tornado of the outbreak, an EF-5, hit northern Alabama, killing 78 people. Several major metropolitan areas were directly impacted by strong tornadoes including Tuscaloosa, Birmingham, and Huntsville in Alabama and Chattanooga, Tennessee, causing the estimated damage costs to soar.More Info…",2011
Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011-05-22,2011-05-27,12553.8,9096.8,177,Storms Events,"Outbreak of tornadoes over central and southern states (MO, TX, OK, KS, AR, GA, TN, VA, KY, IN, IL, OH, WI, MN, PA) with an estimated 180 tornadoes. Notably, an EF-5 tornado struck Joplin, MO resulting in at least 160 deaths, making it the deadliest single tornado to strike the U.S. since modern tornado record keeping began in 1950.",2011
Mississippi River flooding (April-May 2011),Flooding,2011-04-01,2011-05-31,4240.1,2986,7,Wet Weather Events,"Persistent rainfall (nearly 300 percent normal precipitation amounts in the Ohio Valley) combined with melting snowpack caused historical flooding along the Mississippi River and its tributaries. Examples of economic damage include: $500 ($710.0) million to agriculture in Arkansas; $320 ($454.4) million in damage to Memphis, Tennessee; $800 million ($1.1 billion)  to agriculture in Mississippi; $317 ($450.1) million to agriculture and property in Missouri's Birds Point-New Madrid Spillway; $80 ($113.6) million for the first 30 days of flood fighting efforts in Louisiana.",2011
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011-06-18,2011-06-22,2121.6,1537.3,3,Storms Events,"Outbreak of tornadoes over central states (OK, TX, KS, NE, MO, IA, IL) with an estimated 81 tornadoes. Additional wind and hail damage across the Southeast (TN, GA, NC, SC).",2011
Missouri River flooding (May-June 2011),Flooding,2011-05-01,2011-06-30,2843.4,2002.3,5,Wet Weather Events,"Melting of an above-average snow pack across the Northern Rocky Mountains combined with above-average precipitation caused the Missouri and Souris Rivers to swell beyond their banks across the Upper Midwest (MT, ND, SD, NE, IA, KS, MO). An estimated 11,000 people were forced to evacuate Minot, North Dakota due to the record high water level of the Souris River, where 4,000 homes were flooded. Numerous levees were breached along the Missouri River, flooding thousands of acres of farmland.",2011
"North Central Severe Weather (July 1, 2011)",Severe Storm,2011-07-01,2011-07-01,1225.5,888,0,Storms Events,"Severe weather causes damage across several north central states. The regions most impacted were southern Minnesota, western Wisconsin and northern Illinois.",2011
"Rockies and Midwest Derecho (July 10-11, 2011)",Severe Storm,2011-07-10,2011-07-11,1704.4,1235,2,Storms Events,"A derecho produced a wide swatch of high wind damage beginning east of the Rockies and across the central plains (CO, IA, IL, MI, MN, OH).",2011
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Severe Storm,2011-08-17,2011-08-18,1589,1151.4,0,Storms Events,"Severe weather impacts the states IA, KS, MO, NE, SD across the Midwest and Southeast.",2011
Hurricane Irene (August 2011),Tropical Cyclone,2011-08-26,2011-08-28,18621.8,13494,45,Storm Events,"Category 1 hurricane made landfall over coastal NC and moved northward along the Mid-Atlantic Coast (NC, VA, MD, NJ, NY, CT, RI, MA, VT) causing torrential rainfall and flooding across the Northeast. Wind damage in coastal NC, VA, and MD was moderate with considerable damage resulting from falling trees and power lines, while flooding caused extensive flood damage across NJ, NY, and VT. Over seven million homes and businesses lost power during the storm. Numerous tornadoes were also reported in several states further adding to the damage.",2011
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Drought,2011-03-01,2011-08-31,16989.7,11964.8,95,Dry Weather Events,"Drought and heat wave conditions created major impacts across Texas, Oklahoma, New Mexico, Arizona, southern Kansas, and western Louisiana. In Texas and Oklahoma, a majority of range and pastures were classified in ""very poor"" condition for much of the 2011 crop growing season.",2011
Tropical Storm Lee (September 2011),Tropical Cyclone,2011-09-01,2011-09-05,3467.3,2512.5,21,Storm Events,"Wind and flood damage across the southeast (LA, MS, AL, GA, TN) but considerably more damage from record flooding across the northeast (PA, NY, NJ, CT, VA, MD). Pennsylvania and New York were most affected.",2011
Northeastern Winter Storm (October 2011),Winter Storm,2011-10-29,2011-10-30,1276.5,925,1,Wet Weather Events,"Winter storm impacts northeastern states including Connecticut, Massachusetts, New Hamsphire, New York, New Jersey and Pennsylvania.",2011
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011-06-01,2011-11-30,2512.7,1820.8,5,Dry Weather Events,"Continued drought conditions and periods of extreme heat provided conditions favorable for a series of historic wildfires across Texas, New Mexico and Arizona. The Bastrop Fire in Texas was the most destructive fire in Texas history destroying over 1,500 homes. The Wallow Fire consumed over 500,000 acres in Arizona making it the largest on record in Arizona. The Las Conchas Fire in New Mexico was also the state's largest wildfire on record scorching over 150,000 acres while threatening the Los Alamos National Laboratory. Over 3 million acres have burned across Texas this wildfire season.",2011
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,2012-03-02,2012-03-03,4255.1,3128.8,42,Storms Events,"Outbreak of tornadoes and severe weather over the southeast and Ohio Valley (AL, GA, IN, OH, KY, TN) with 75 confirmed tornadoes.",2012
Texas Tornadoes (April 2012),Severe Storm,2012-04-02,2012-04-03,1380.7,1015.3,0,Storms Events,Outbreak of tornadoes across the greater Dallas-Ft. Worth metropolitan area. Several moderate strength tornadoes (EF-2 and EF-3) affected towns in this area with a total of 22 confirmed tornadoes.,2012
Midwest Tornadoes (April 2012),Severe Storm,2012-04-13,2012-04-14,1528.1,1123.6,6,Storms Events,"Outbreak of tornadoes and severe weather over the midwest (OK, KS, NE, IA) with 98 confirmed tornadoes including many tornadoes that remained on the ground for an extended time - traveling tens of miles.",2012
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,2012-04-28,2012-05-01,4455.8,3276.3,1,Storms Events,"Severe weather over the midwest and Ohio Valley (TX, OK, KS, MO, IL, IN, KY) with 38 confirmed tornadoes. Considerable damage resulting from hail.",2012
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,2012-05-25,2012-05-30,3133,2303.7,1,Storms Events,"Severe storms over the southern plains, midwest and northeast (TX, OK, KS, MN, PA, NY) with 27 confirmed tornadoes. Significant damage also from severe hail and straight-line winds.",2012
Rockies/Southwest Severe Weather (June 2012),Severe Storm,2012-06-06,2012-06-12,3533,2597.8,0,Storms Events,"Severe storms and damaging hail over several states (CO, NM, TX) with 25 confirmed tornadoes. Colorado experienced over $1.0 ($1.4) billion in damage due to hail.",2012
Plains/East/Northeast Derecho (June-July 2012),Severe Storm,2012-06-29,2012-07-02,3928.2,2888.4,28,Storms Events,"Sustained outbreak of thunderstorms/high winds from a strong derecho event over the central, eastern, and northeastern states (IL, IN, KY, OH, WV, SC, NC, VA, MD, DC, NJ).",2012
Hurricane Isaac (August 2012),Tropical Cyclone,2012-08-26,2012-08-31,3758.4,2763.5,9,Storm Events,"Category 1 hurricane made landfall over Louisiana. Isaac's slow motion and large size led to a large storm surge and flooding rains. This created damage across several southeastern states (LA, MS, AL, FL) including 9 deaths (5 direct, 4 indirect).",2012
Hurricane Sandy (October 2012),Tropical Cyclone,2012-10-30,2012-10-31,87803.7,65039.6,159,Storm Events,"Extensive damage across several northeastern states (MD, DE, NJ, NY, CT, MA, RI) due to high wind and coastal storm surge, particularly NY and NJ. Damage from wind, rain and heavy snow also extended more broadly to other states (NC, VA, WV, OH, PA, NH), as Sandy merged with a developing Nor'easter. Sandy's impact on major population centers caused widespread interruption to critical water/electrical services and also caused 159 deaths (72 direct, 87 indirect). Sandy also caused the New York Stock Exchange to close for two consecutive business days, which last happened in 1888 due to a major winter storm.",2012
Western Wildfires (Summer-Fall 2012),Wildfire,2012-06-01,2012-11-30,2364.3,1738.5,8,Dry Weather Events,"Wildfires burned over 9.2 million acres across the U.S. in 2012. This is the 3rd highest annual total since the year 2000. The most damaging wildfires occurred in the western states (CO, ID, WY, MT, CA, NV, OR, WA). Colorado experienced the most costly wildfires (e.g., Waldo Canyon fire) where several hundred residences were destroyed.",2012
U.S. Drought/Heat Wave (2012),Drought,2012-01-01,2012-12-31,41404.9,30003.6,123,Dry Weather Events,"The 2012 drought is the most extensive drought to affect the U.S. since the 1930s. Moderate to extreme drought conditions affected more than half the country for a majority of 2012. The following states were affected: CA, NV, ID, MT, WY, UT, CO, AZ, NM, TX, ND, SD, NE, KS, OK, AR, MO, IA, MN, IL, IN, GA. Costly drought impacts occurred across the central agriculture states resulting in widespread harvest failure for corn, sorghum and soybean crops, among others. The associated summer heat wave also caused 123 direct deaths, but an estimate of the excess mortality due to heat stress is still unknown.",2012
Southern Severe Weather (February 2013),Severe Storm,2013-02-24,2013-02-25,1244.8,922,1,Storms Events,"Severe weather produced severe hail and wind damage across several southern states including Louisiana, Oklahoma and Texas. The damage was most focused in Louisiana near New Orleans, as severe hail caused significant damage costs to many homes, vehicles and businesses.",2013
Southeast Severe Weather (March 2013),Severe Storm,2013-03-18,2013-03-18,2706.9,2020,1,Storms Events,"Severe weather over the Southeast (MS, AL, GA, TN) with 10 confirmed tornadoes. Considerable damage resulting from large hail and straight-line wind.",2013
